Column,Signal,Layer
77,IA1,M2
78,IA1,M2
81,IA2,M2
82,IA2,M2
85,IA3,M2
86,IA3,M2
205,IA1,M2
206,IA1,M2
209,IA2,M2
210,IA2,M2
213,IA3,M2
214,IA3,M2
333,IA1,M2
334,IA1,M2
337,IA2,M2
338,IA2,M2
341,IA3,M2
342,IA3,M2
461,IA1,M2
462,IA1,M2
465,IA2,M2
466,IA2,M2
469,IA3,M2
470,IA3,M2
516,US2,M1
517,US2,M1
520,US1,M1
521,US1,M1
524,US3,M1
525,US3,M1
589,IA1,M2
590,IA1,M2
593,IA2,M2
594,IA2,M2
597,IA3,M2
598,IA3,M2
673,RTD1,M2
674,RTD1,M2
675,RTD2,M2
676,RTD2,M2
717,IA1,M2
718,IA1,M2
721,IA2,M2
722,IA2,M2
725,IA3,M2
726,IA3,M2
845,IA1,M2
846,IA1,M2
849,IA2,M2
850,IA2,M2
853,IA3,M2
854,IA3,M2
973,IA1,M2
874,IA1,M2
977,IA2,M2
978,IA2,M2
981,IA3,M2
982,IA3,M2
1067,IA3,M2
1068,IA3,M2
1071,IA2,M2
1072,IA2,M2
1075,IA1,M2
1076,IA1,M2
1195,IA3,M2
1196,IA3,M2
1199,IA2,M2
1200,IA2,M2
1203,IA1,M2
1204,IA1,M2
1323,IA3,M2
1324,IA3,M2
1327,IA2,M2
1328,IA2,M2
1331,IA1,M2
1332,IA1,M2
1373,RTD3,M2
1374,RTD3,M2
1375,RTD4,M2
1376,RTD4,M2
1451,IA3,M2
1452,IA3,M2
1455,IA2,M2
1456,IA2,M2
1459,IA1,M2
1460,IA1,M2
1524,US3,M1
1525,US3,M1
1528,US1,M1
1529,US1,M1
1532,US2,M1
1533,US2,M1
1579,IA3,M2
1580,IA3,M2
1583,IA2,M2
1584,IA2,M2
1587,IA1,M2
1588,IA1,M2
1707,IA3,M2
1708,IA3,M2
1711,IA2,M2
1712,IA2,M2
1715,IA1,M2
1716,IA1,M2
1835,IA3,M2
1836,IA3,M2
1839,IA2,M2
1840,IA2,M2
1843,IA1,M2
1844,IA1,M2
1963,IA3,M2
1964,IA3,M2
1967,IA2,M2
1968,IA2,M2
1971,IA1,M2
1972,IA1,M2